building_name,building_code,floor,room_number,code,room_type
"Gedung B","B",3,1,"B-3-01","TEORI"
"Gedung B","B",3,2,"B-3-02","TEORI"
"Gedung B","B",3,3,"B-3-03","TEORI"
"Gedung B","B",3,4,"B-3-04","TEORI"
"Gedung B","B",3,5,"B-3-05","TEORI"
"Gedung B","B",3,6,"B-3-06","TEORI"
"Gedung B","B",3,7,"B-3-07","TEORI"
"Gedung B","B",3,8,"B-3-08","TEORI"
"Gedung B","B",3,9,"B-3-09","TEORI"
"Gedung B","B",3,10,"B-3-10","TEORI"
"Gedung B","B",3,11,"B-3-11","TEORI"
"Gedung B","B",3,12,"B-3-12","TEORI"
"Gedung B","B",4,1,"B-4-01","TEORI"
"Gedung B","B",4,2,"B-4-02","TEORI"
"Gedung B","B",4,3,"B-4-03","TEORI"
"Gedung B","B",4,4,"B-4-04","TEORI"
"Gedung B","B",4,5,"B-4-05","TEORI"
"Gedung B","B",4,6,"B-4-06","TEORI"
"Gedung B","B",4,7,"B-4-07","TEORI"
"Gedung B","B",4,8,"B-4-08","TEORI"
"Gedung B","B",4,9,"B-4-09","TEORI"
"Gedung B","B",4,10,"B-4-10","TEORI"
"Gedung B","B",4,11,"B-4-11","TEORI"
"Gedung B","B",4,12,"B-4-12","TEORI"
"Gedung B","B",5,1,"B-5-01","TEORI"
"Gedung B","B",5,2,"B-5-02","TEORI"
"Gedung B","B",5,3,"B-5-03","TEORI"
"Gedung B","B",5,4,"B-5-04","TEORI"
"Gedung B","B",5,5,"B-5-05","TEORI"
"Gedung B","B",5,6,"B-5-06","TEORI"
"Gedung B","B",5,7,"B-5-07","TEORI"
"Gedung B","B",5,8,"B-5-08","TEORI"
"Gedung B","B",5,9,"B-5-09","TEORI"
"Gedung B","B",5,10,"B-5-10","TEORI"
"Gedung B","B",5,11,"B-5-11","TEORI"
"Gedung B","B",5,12,"B-5-12","TEORI"
"Gedung B","B",6,1,"B-6-01","TEORI"
"Gedung B","B",6,2,"B-6-02","TEORI"
"Gedung B","B",6,3,"B-6-03","TEORI"
"Gedung B","B",6,4,"B-6-04","TEORI"
"Gedung B","B",6,5,"B-6-05","TEORI"
"Gedung B","B",6,6,"B-6-06","TEORI"
"Gedung B","B",6,7,"B-6-07","TEORI"
"Gedung B","B",6,8,"B-6-08","TEORI"
"Gedung B","B",6,9,"B-6-09","TEORI"
"Gedung B","B",6,10,"B-6-10","TEORI"
"Gedung B","B",6,11,"B-6-11","TEORI"
"Gedung B","B",6,12,"B-6-12","TEORI"
"Gedung C","C",1,1,"C-1-01","TEORI"
"Gedung C","C",1,2,"C-1-02","TEORI"
"Gedung C","C",1,3,"C-1-03","TEORI"
"Gedung C","C",1,4,"C-1-04","TEORI"
"Gedung C","C",1,5,"C-1-05","TEORI"
"Gedung C","C",1,6,"C-1-06","TEORI"
"Gedung C","C",1,7,"C-1-07","TEORI"
"Gedung C","C",1,8,"C-1-08","TEORI"
"Gedung C","C",1,9,"C-1-09","TEORI"
"Gedung C","C",1,10,"C-1-10","TEORI"
"Gedung C","C",1,11,"C-1-11","TEORI"
"Gedung C","C",1,12,"C-1-12","TEORI"
"Gedung C","C",2,1,"C-2-01","TEORI"
"Gedung C","C",2,2,"C-2-02","TEORI"
"Gedung C","C",2,3,"C-2-03","TEORI"
"Gedung C","C",2,4,"C-2-04","TEORI"
"Gedung C","C",2,5,"C-2-05","TEORI"
"Gedung C","C",2,6,"C-2-06","TEORI"
"Gedung C","C",2,7,"C-2-07","TEORI"
"Gedung C","C",2,8,"C-2-08","TEORI"
"Gedung C","C",2,9,"C-2-09","TEORI"
"Gedung C","C",2,10,"C-2-10","TEORI"
"Gedung C","C",2,11,"C-2-11","TEORI"
"Gedung C","C",2,12,"C-2-12","TEORI"
